settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,religion,religion_idx,overall_population_2020,altitude_avg,crime_score_percent,district_name,district_idx,T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,nature_rate
ירושלים,"3,000",26.09,5.01,38.32,32.99,16.35,22.3,2.68,"17,627",26.72,11.6,2.37,-0.04,0.2,0.05,-0.59,-0.3,-1.428574217,1.860417129,ישוב מעורב,2,351149,715,3.001632762,ירושלים,9,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.862459075
תל אביב -יפו,"5,000",26.59,1.31,74.39,67.79,44.63,44.9,4.78,"6,444",37.21,9.7,3.11,1.23,1.08,0.9,0.92,0.95,2.814944421,3.840531561,ישוב מעורב,2,303808,17,,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.401091803
חיפה,"4,000",26.5,1.3,74.74,64.84,33.89,46.7,4.81,"4,669",41.34,9.83,3.07,0.84,0.67,0.67,1.06,0.6,-1.270183917,1.267745887,ישוב מעורב,2,283736,98,3.92125074,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,0.956933761
ראשון לציון,"8,300",27.81,0.68,81.73,72.7,26.26,44.2,2.99,"3,749",44.17,11.34,2.78,0.18,0.08,0.26,0.43,0.43,0.932318341,1.176295648,יהודי,1,256053,41,2.833397773,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.44551196
פתח תקווה,"7,900",27.67,0.73,74.84,66.9,33.22,41.8,2.52,"4,726",36.29,10.62,2.85,0.45,0.12,0.39,0.43,0.36,4.470045672,1.379781524,יהודי,1,250484,31,2.656856326,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.607934148
אשדוד,70,26.76,1.19,56.99,48.27,15.32,35.1,2.11,"4,130",33.37,12.06,2.55,-0.29,-0.51,0.01,0.04,0.03,-1.77424686,1.011190441,יהודי,1,226154,22,3.774419201,אשקלון,1,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.915796367
נתניה,"7,400",27.29,1.03,73.36,62.26,22.35,37.6,2.27,"3,768",36.07,11.35,2.73,0.06,-0.19,0.08,0.4,0.43,-1.66848135,0.940830387,יהודי,1,222129,28,2.780366364,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.523501198
באר שבע,"9,000",26.15,1.01,76.12,61.05,21.6,34.3,3.66,"3,717",38.36,10,3.26,-0.06,-0.14,0.28,0.6,0.3,-1.812425629,0.834281962,יהודי,1,210595,291,6.730929034,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.795534746
בני ברק,"6,100",27.3,1.71,6.22,4.82,7.19,9.6,0.81,"2,886",14.21,16.13,1.47,-0.96,-0.23,0.09,-0.77,-0.4,4.303916432,1.059904863,יהודי,1,208793,27,1.572370721,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.464606507
חולון,"6,600",28.11,0.95,76.67,65.17,23.15,41.4,2.3,"2,905",38.38,12.27,2.63,-0.14,-0.28,0.14,0.58,0.22,3.346867547,1.155096379,יהודי,1,197246,34,2.428946595,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.39689824
רמת גן,"8,600",27.33,0.99,83.9,79.65,42.17,51.6,3.87,"2,150",43.21,12.45,2.49,1.01,0.6,0.86,0.85,0.73,4.283795188,0.968633737,יהודי,1,167556,37,2.055432214,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.398943057
אשקלון,"7,100",27.83,1.1,72.04,63.87,19.22,38.4,2.37,"2,585",33.27,10.42,3.08,-0.15,-0.49,-0.05,0.74,0.35,-1.843381389,0.958378471,יהודי,1,146519,36,4.376906749,אשקלון,1,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.941640401
רחובות,"8,400",27.77,1.23,77.01,67.68,39.02,42.4,3.16,"2,695",39.07,10.62,2.9,0.71,0.63,0.56,0.69,0.51,-1.416707843,0.822373002,יהודי,1,146095,51,2.013758171,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.428007917
בית שמש,"2,610",24.98,2.51,35.69,29.77,10.43,26.6,1.63,"2,563",24.7,12.1,2.31,-0.17,-0.3,0.19,-1.07,-0.69,-1.689634452,0.814041463,יהודי,1,132544,302,1.961612747,ירושלים,9,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.955897992
בת ים,"6,200",24.54,1.54,74.03,62.75,9.8,27.2,1.45,"1,883",35.53,10.29,3.09,-0.35,-0.79,-0.15,0.17,-0.13,3.309204707,1.011472185,יהודי,1,127803,22,4.733065734,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.444139573
כפר סבא,"6,900",27.2,0.79,81.36,74.48,47.69,45.6,2.64,"1,877",42.35,9.96,3.08,1.02,0.71,0.76,0.89,0.85,3.490295898,0.878550459,יהודי,1,101830,52,2.315624079,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.464282083
הרצלייה,"6,400",28.05,1.35,84.38,77.68,44.95,51.1,3.4,"1,522",41.85,10.59,2.89,1.14,0.78,0.78,1.43,1.47,4.390592557,,יהודי,1,98966,38,,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.694778208
חדרה,"6,500",26.42,1.12,68.27,57.54,22.25,31.4,2.24,"1,767",34.8,10.37,2.91,-0.17,-0.36,0.11,0.64,0.49,-1.582837083,0.932882195,יהודי,1,98908,19,3.173656327,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.52584366
לוד,"7,000",25.67,1.73,57.07,44.47,11.39,25.3,1.97,"1,770",33.84,10.81,2.87,-0.67,-0.88,-0.56,0.14,-0.23,-0.65519617,,ישוב מעורב,2,80932,57,5.738150546,רמלה,15,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,,,10,,0.386298898
מודיעין עילית,"3,797",27.87,1.96,3.2,1.85,3.79,53.8,3.78,"1,058",4.35,18.85,1.07,1.79,1.56,1.31,0.02,0.6,-1.786629164,,יהודי,1,77967,293,3.357830877,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.569631567
נצרת,"7,300",29.17,1.58,56.49,45.14,15.01,34,2.82,"1,882",36.98,9.94,3.14,-0.57,-0.44,-0.55,-0.71,-0.74,-1.808298195,,לא יהודי,3,77792,347,1.253342246,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.641197328
רמלה,"8,500",25.69,1.8,64.85,50.1,9.04,25.4,1.73,"1,601",30.54,11.17,2.75,-1.07,-1.09,-0.74,-0.35,-0.46,-1.115921051,0.981622492,ישוב מעורב,2,76987,76,5.024224869,רמלה,15,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,,,10,,0.379096621
רעננה,"8,700",27.25,1.19,87.75,83.76,43.8,55.8,3.54,"1,479",42.87,10.28,2.99,1.65,1.46,1.16,1.25,1.34,4.139334979,1.032284133,יהודי,1,76277,48,2.291647548,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.588814977
רהט,"1,161",27.29,4.53,57.43,42.65,7.49,16.2,1.77,"1,872",24.31,10.48,3.16,-1.46,-1.06,-2.11,0.09,-0.7,-1.864018561,,לא יהודי,3,73768,222,0.119292918,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.680660596
ראש העין,"2,640",26.13,0.81,75.25,67.95,34.39,38.4,3.16,"1,043",38.45,11.41,2.65,0.25,0.29,0.49,-0.11,0.33,4.158424364,,יהודי,1,67624,83,2.16934816,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.818658269
הוד השרון,"9,700",30.15,1.39,86.5,81.11,54.35,52.1,3.18,"1,137",43.98,11.75,2.65,1.52,1.51,1.09,0.96,1.25,4.147589848,,יהודי,1,64489,37,3.938656205,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.648468385
ביתר עילית,"3,780",25.33,1.91,11.14,6.71,5.91,19.3,0.93,"1,334",10.94,15.77,2.07,-1.08,-0.53,0.11,-2.04,-0.95,-1.425478641,,יהודי,1,61125,701,1.411860941,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,1.004711178
גבעתיים,"6,300",29.79,0.71,92.79,87.17,55.35,52.2,4.1,755,42.25,14.58,2.05,0.13,0.09,0.48,0.13,0.44,4.389560698,,יהודי,1,61061,42,1.942319975,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.394873564
קריית אתא,"6,800",28.09,1.38,76.96,60.09,20.88,42.5,2.53,953,36.1,11.3,2.73,-0.5,-0.57,-0.01,0.7,0.3,-1.454886612,0.844220661,יהודי,1,59364,35,,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,0.837955415
נהרייה,"9,100",27.68,1.3,71.49,59.84,21.25,39.7,2.64,931,39.63,12.01,2.66,0.04,-0.2,0.31,0.69,0.27,-1.890330956,,יהודי,1,59156,24,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.080443884
קריית גת,"2,630",24.56,1.13,63.8,50.95,13.83,23.4,2.14,"1,113",35.13,10.2,3.15,-0.69,-0.86,-0.27,0.2,-0.11,-1.839253954,0.937558922,יהודי,1,58482,128,,אשקלון,1,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.62011998
אום אל-פחם,"2,710",26.75,1.09,59.4,44.16,8.52,23.3,2.11,"1,438",31.36,10.54,3.07,-1.18,-0.83,-1.3,-1.33,-1.1,-1.890846886,,לא יהודי,3,56777,310,,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.543304479
עפולה,"7,700",24.77,1.58,65.64,51.28,16.57,33.5,2.89,"1,026",35.58,9.14,3.39,-0.54,-0.74,-0.24,0.69,0.31,-1.84234953,0.873613557,יהודי,1,56769,144,4.461942257,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.427741712
אילת,"2,600",24.89,1.8,66.28,59.65,10.82,23.1,1.89,971,36.66,10.77,3.24,-0.69,-0.67,-0.08,0.6,0.59,-1.898585826,0.796197633,יהודי,1,52519,164,8.751118643,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.370921451
נס ציונה,"7,200",29.14,0.66,87.75,82.3,50.99,53.5,3.11,"1,034",44.1,10.44,2.97,0.52,0.6,0.55,0.34,0.4,-1.309910474,,יהודי,1,50706,39,2.098371001,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.58910178
יבנה,"2,660",27.2,1.98,79.77,70.43,29.65,40.3,2.51,874,36.61,10.78,2.92,-0.35,-0.18,-0.02,0.08,0.16,-1.640105237,0.887582759,יהודי,1,49836,31,2.205233165,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.612376717
עכו,"7,600",25.54,1.31,70.88,48.32,13.37,34.2,2.42,"1,102",32.49,9.01,3.58,-0.86,-0.86,-0.43,0.33,-0.26,-1.486358301,,ישוב מעורב,2,49503,8,6.714744561,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.988096034
אלעד,"1,309",25.17,1.35,28.61,20.15,11.17,16.7,1.15,"1,009",10.31,16.78,1.71,-0.87,-0.64,0.18,-1.8,-0.72,1.236200709,1.085064942,יהודי,1,49167,122,1.317957166,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.944953273
רמת השרון,"2,650",25.77,1.24,79.26,74.58,55.9,58.3,3.07,"1,028",43.39,9,3.28,1.65,1.71,1.09,1.67,1.58,4.266253591,,יהודי,1,47512,39,2.483583095,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.625463436
כרמיאל,"1,139",26.66,1.53,73.23,59.63,21.33,37,3.02,885,39.77,9.53,3.3,0.15,-0.18,0.61,0.97,0.77,-1.808814124,0.779743704,יהודי,1,46122,270,5.691427085,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.396238761
טבריה,"6,700",24.05,2,61.43,41.47,10.07,29.1,1.84,984,34.25,9.2,3.43,-0.95,-0.95,-0.31,0.58,0.23,-1.849056611,,יהודי,1,45867,11,5.099526893,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,0.937895615
קריית מוצקין,"8,200",27.98,0.94,79.15,71.49,28.99,38.3,2.78,636,38.68,11.02,2.92,0.05,-0.01,0.33,1.14,0.47,-1.466237057,0.836605195,יהודי,1,45463,9,,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,0.780478692
טייבה,"2,730",27.11,2.09,74.28,60.63,13.49,29.9,3.01,918,40.2,11.67,2.74,-1,-0.53,-0.79,-0.45,-0.67,-1.145329022,,לא יהודי,3,44585,64,0.035886509,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.333522188
פרדס חנה-כרכור,"7,800",27.17,1.61,75.48,64.94,41.91,30.1,2.43,824,36.04,11.17,2.65,0.38,0.18,0.48,0.64,0.57,-1.716978706,0.912752118,יהודי,1,43760,48,,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.442223251
שפרעם,"8,800",25.99,1.83,56.5,48.15,11.31,27.6,2.45,789,40.43,12.12,2.65,-0.8,-0.77,-1,-0.86,-0.8,-1.844929176,,לא יהודי,3,42509,137,0.272883389,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.780920599
קריית ביאליק,"9,500",27.21,1.45,78.89,68.44,26.57,34.3,2.63,593,40.13,11.03,2.85,-0.02,-0.19,0.22,1.18,0.47,-1.464689269,0.852225829,יהודי,1,41912,12,,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,0.805676102
קריית אונו,"2,620",29.43,0.55,89.46,88.29,56.84,55.8,3.3,723,43.98,11.88,2.6,1.11,1.11,0.89,1.15,0.66,4.593352779,,יהודי,1,40835,61,,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.418885928
נתיבות,246,23.3,1.7,62.59,39.8,14.68,31.4,2.27,794,28.21,13,2.55,-0.75,-0.89,-0.18,-0.31,-0.51,-1.861438915,,יהודי,1,39703,133,3.851094376,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.581601978
קריית ים,"9,600",26.01,1.7,66.92,48.74,13.46,35.2,1.93,619,36.35,9.58,3.22,-0.38,-0.74,-0.19,0.77,0.09,-1.464689269,0.865448731,יהודי,1,39459,7,,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,0.772115395
מעלה אדומים,"3,616",24.31,0.55,87.33,77.38,24.87,43.9,3.87,"1,016",38.39,8.94,3.53,0.1,-0.21,0.33,-0.35,-0.31,-1.643200813,,יהודי,1,37846,330,3.508957353,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.672575268
אור יהודה,"2,400",24.79,0.82,72.31,57.85,13.76,40.5,2.31,583,31.73,12.73,2.31,-0.67,-0.64,-0.53,0.21,-0.21,4.080519037,0.950656228,יהודי,1,36770,29,2.61354365,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.369739247
