settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,religion,overall_population_2020,altitude_avg,crime_score_percent,district_name,T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,nature_rate
אבו גוש,472,22.58,4.93,59.29,37.17,13.03,,3.74,183,33.33,9.91,3.06,-1.22,-1.05,-1.0,-1.64,-1.72,-1.3816246490000001,,לא יהודי,7771.0,686.0,2.7795650495431734,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.0875882481836978
בית שמש,"2,610",24.98,2.51,35.69,29.77,10.43,26.6,1.63,"2,563",24.7,12.1,2.31,-0.17,-0.3,0.19,-1.07,-0.69,-1.689634452,0.814041463,יהודי,132544.0,302.0,1.9616127474649927,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.9558979915223016
ירושלים,"3,000",26.09,5.01,38.32,32.99,16.35,22.3,2.68,"17,627",26.72,11.6,2.37,-0.04,0.2,0.05,-0.59,-0.3,-1.428574217,1.860417129,ישוב מעורב,951149.0,715.0,3.001632762059362,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.8624590752448005
מבשרת ציון,"1,015",24.53,0.9,80.73,70.1,42.52,51.7,4.22,426,45.54,10.98,2.78,0.73,1.2,0.8,0.86,0.97,-1.423414924,,יהודי,24247.0,719.0,3.406607002928197,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.056181648886307
אבו סנאן,473,25.52,1.79,65.81,52.56,12.09,28.5,2.32,293,32.08,10.11,3.12,-0.62,-0.43,-0.69,-1.62,-1.0,-1.8366743069999998,,לא יהודי,14306.0,71.0,0.05592059275828324,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.8006884973638562
אעבלין,529,28.21,1.09,58.13,52.85,12.12,40.3,2.54,374,38.5,9.11,3.53,-0.74,-0.69,-1.33,-0.76,-0.64,-1.861438915,,לא יהודי,13547.0,87.0,0.13287074629069168,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.739653730615904
בית ג'ן,480,25.75,0.56,92.31,82.05,15.76,36.1,3.52,239,42.26,11.54,2.9,-0.72,-0.71,-0.86,-1.45,-1.35,-1.852152187,,לא יהודי,12151.0,901.0,0.1069870792527364,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,2.542168547818345
דייר חנא,492,25.21,2.28,89.33,67.98,15.33,29.4,3.32,200,40.5,12.39,2.61,-0.46,-0.49,-0.58,-1.38,-1.15,-1.838222095,,לא יהודי,10486.0,226.0,1.6688918558077435,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9733006437117264
חורפיש,496,24.11,,91.15,81.42,22.69,44.5,4.37,158,34.18,9.62,3.36,-0.42,-0.36,-0.44,-1.15,-1.06,-1.852152187,,לא יהודי,6490.0,677.0,1.4021571648690292,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.48192360368298
טמרה,"8,900",25.87,0.47,60.25,45.63,12.19,31.3,2.88,906,36.42,9.69,3.37,-1.0,-0.91,-1.2,-0.07,-0.63,-1.857827409,,לא יהודי,34877.0,93.0,0.04014106717894314,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7330896961639803
ירכא,502,25.03,0.72,80.92,50.33,12.34,26.3,3.05,505,27.92,7.84,3.86,-1.09,-0.7,-1.18,-1.54,-1.48,-1.8408017419999998,,לא יהודי,17405.0,252.0,0.02298190175237001,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.97663086122101
כאבול,504,24.84,0.61,80.47,59.77,15.17,35.6,3.18,256,30.08,12.34,2.73,-0.72,-0.63,-0.9,-0.86,-0.94,-1.9047769769999998,,לא יהודי,14243.0,77.0,1.3269676332233378,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.8044192987817698
