,crimes
אילת,4596
מועצה אזורית חבל אילות,75
אשדוד,8536
מועצה אזורית חבל יבנה,130
אשקלון,6413
מועצה אזורית חוף אשקלון,442
בני עי''ש,258
גן יבנה,635
מועצה אזורית באר טוביה,875
מועצה אזורית גדרות,217
מועצה אזורית יואב,259
מועצה אזורית שפיר,335
קרית מלאכי,1422
מועצה אזורית לכיש,400
קרית גת,2681
מועצה אזורית שער הנגב,329
שדרות,1630
אופקים,1016
מועצה אזורית אשכול,417
מועצה אזורית בני שמעון,940
מועצה אזורית מרחבים,994
באר שבע,14175
מקום,111
דימונה,2420
ירוחם,419
מועצה אזורית הערבה התיכונה,174
מועצה אזורית נווה מדבר,347
מועצה אזורית רמת נגב,210
מועצה אזורית תמר,106
מצפה רמון,214
חורה,830
לקיה,408
מועצה אזורית אל קסום,588
מועצה אזורית הר חברון,313
מיתר,241
עומר,991
תל שבע,31
מועצה אזורית שדות נגב,283
נתיבות,1529
ערד,1449
כסיפה,225
ערערה בנגב,54
שגב שלום,1399
להבים,387
רהט,88
אבו סנאן,8
ג'דידה מכר,10
ג'וליס,2465
ירכא,4
כפר יאסיף,1657
מועצה אזורית משגב,1209
בסמת טבעון,325
חיפה,11126
מועצה אזורית זבולון,430
מועצה אזורית מטה אשר,565
מועצה אזורית עמק יזרעאל,1280
נשר,977
קרית אתא,1642
קרית ביאליק,1197
קרית טבעון,497
קרית ים,1134
קרית מוצקין,1164
רכסים,131
מועצה אזורית מעלה יוסף,380
מזרעה,162
נהריה,1996
שלומי,82
עכו,3324
דאלית אל כרמל,8
מועצה אזורית חוף הכרמל,611
עספיא,21
טירת כרמל,822
אום אל פחם,41
בסמ''ה,84
מועצה אזורית מגידו,206
מועצה אזורית מנשה,1745
מעלה עירון,24
באקה אל ע'רביה,27
ג'ת,9
ג'סר א זרקא,6
בנימינה גבעת עדה,1363
זכרון יעקב,1221
מועצה אזורית אלונה,75
פוריידיס,7
פרדס חנה כרכור,2100
אור עקיבא,621
אליכין,101
חדרה,3139
מועצה אזורית עמק חפר,1140
חריש,261
כפר קרע,6
ערערה,37
ירושלים,28550
בית שמש,2600
אבו גוש,216
הר אדר,110
מבשרת ציון,826
מועצה אזורית מטה יהודה,362
קרית יערים,75
גבעת זאב,468
מועצה אזורית מטה בנימין,2295
מועצה אזורית גוש עציון,213
ישוב פלסטיני,170
גדרה,1687
יבנה,1099
מועצה אזורית ברנר,127
מועצה אזורית גן רווה,204
מועצה אזורית נחל שורק,137
לוד,4644
מועצה אזורית חבל מודיעין,504
מועצה אזורית עמק לוד,253
מודיעין מכבים רעות,1686
מועצה אזורית גזר,607
בית דגן,78
בת ים,6049
הרצליה,2713
ראשון לציון,7255
מזכרת בתיה,165
נס ציונה,1064
קרית עקרון,396
רחובות,2942
באר יעקב,272
רמלה,3868
זמר,186
טייבה,16
מועצה אזורית דרום השרון,713
מועצה אזורית לב השרון,470
קלנסווה,24
טירה,1129
כוכב יאיר,166
הוד השרון,2540
כפר סבא,2358
רעננה,1748
ג'לג'וליה,131
כפר ברא,108
כפר קאסם,251
ראש העין,1467
נתניה,6176
גני תקווה,278
פתח תקווה,6655
אלעד,648
שוהם,405
אבן יהודה,108
כפר יונה,399
מועצה אזורית חוף השרון,395
פרדסיה,339
קדימה צורן,1544
תל מונד,103
טמרה,14
כאבול,189
שעב,194
בית ג'ן,13
כרמיאל,2625
מועצה אזורית מרום הגליל,400
סאג'ור,59
ראמה,91
ביענה,153
דייר אל אסד,7
מג'ד אל כרום,12
נחף,7
דייר חנא,175
כאוכב אבו אל היגא,109
כפר מנדא,49
סח'נין,271
עראבה,19
אעבלין,18
ביר אל מכסור,158
שפרעם,116
בוקעתא,156
מג'דל שמס,1501
מועצה אזורית גולן,1018
מסעדה,402
עין קנייא,21
קצרין,205
בועיינה נוג'יידאת,154
טבריה,2339
יבנאל,133
כפר כמא,22
מגאר,8
מגדל,91
מועצה אזורית אל-בטוף,226
מועצה אזורית הגליל העליון,458
מועצה אזורית הגליל התחתון,203
מועצה אזורית עמק הירדן,387
עיילבון,83
חצור הגלילית,270
טובא זנגריה,560
יסוד המעלה,84
מועצה אזורית מבואות החרמון,372
ראש פינה,313
חורפיש,91
יאנוח ג'ת,126
כיסרא סומיע,120
כפר ורדים,225
מעיליא,124
מעלות תרשיחא,623
פסוטה,43
פקיעין,77
ג'יש,58
צפת,1093
מטולה,53
ע'ג'ר,49
קרית שמונה,931
בית שאן,454
מועצה אזורית הגלבוע,953
מועצה אזורית עמק המעיינות,284
טורעאן,28
כפר כנא,24
משהד,142
זרזיר,1768
יקנעם עילית,832
כעביה טבאש חג'אג'רה,113
מגדל העמק,868
רמת ישי,117
נוף הגליל,2177
עין מאהל,13
יפיע,41
נצרת,975
עילוט,1909
ריינה,4
אכסאל,4
דבוריה,105
כפר תבור,38
מועצה אזורית בוסתן-אל-מרג',65
עפולה,2533
שבלי,349
קרית ארבע,160
מועצה אזורית מגילות ים המלח,185
מעלה אדומים,1328
אפרת,113
ביתר עילית,863
אורנית,99
אלפי מנשה,133
אלקנה,43
אריאל,1627
מועצה אזורית שומרון,291
עמנואל,106
קדומים,66
קרני שומרון,108
בית אל,1289
מועצה אזורית ערבות הירדן,137
מעלה אפרים,47
בית אריה,54
מודיעין עילית,2618
אזור,273
חולון,4791
תל אביב יפו,27138
בני ברק,3283
גבעתיים,1186
רמת גן,3444
אור יהודה,961
גבעת שמואל,385
יהוד מונוסון,647
סביון,72
קרית אונו,687
כפר שמריהו,132
רמת השרון,1180
