שם יישוב,קואורדינטות
אבו ג'ווייעד (שבט),2040057100
אבו גוש,2105263481
אבו סנאן,2161876289
אבו סריחאן (שבט),1865057450
אבו עבדון (שבט),1850057900
אבו עמאר (שבט),1950056700
אבו עמרה (שבט),1850057100
אבו קורינאת (יישוב),1963656105
אבו קורינאת (שבט),1970056000
אבו רובייעה (שבט),2050057200
אבו רוקייק (שבט),1920056600
אבו תלול,1933456589
אבטין,2109274077
אבטליון,2332474908
אביאל,1996171533
אביבים,2444177707
אביגדור,1757362428
אביחיל,1880869527
אביטל,2291271816
אביעזר,2016662104
אבירים,2271577149
אבן יהודה,1894368642
אבן מנחם,2278177545
אבן ספיר,2128463002
אבן שמואל,1777860926
אבני איתן,2719674774
אבני חפץ,2070768795
אבנת,2414762075
אבשלום,1361956745
אדורה,2016960665
אדירים,2257871719
אדמית,2198477600
אדרת,1995861868
אודים,1858168580
אודם,2702878880
אוהד,1458057199
אום אל-פחם,2145071403
אום אל-קוטוף,2055370835
אום בטין,1886757656
אומן,2230271879
אומץ,1996769744
אופקים,1637757969
אור הגנוז,2421276783
אור הנר,1620260736
אור יהודה,1863465962
אור עקיבא,1927171271
אורה,2145862906
אורון,2014453557
אורות,1749262782
אורטל,2712077699
אורים,1545457936
אורנים,2104973529
אורנית,1995367087
אושה,2110474462
אזור,1819465899
"אזור אילון מ""א 4",2196077510
"אזור אילון מ""א 52",2266077360
"אזור אילון של""ש",2314076950
"אזור אשדוד מ""א 29",1726063970
"אזור אשדוד מ""א 33",1649062930
"אזור אשדוד של""ש",1681064050
"אזור אשקלון מ""א 36",1663061620
"אזור אשקלון מ""א 37",1637060210
"אזור באר שבע מ""א 41",1807058120
"אזור באר שבע מ""א 51",2240057100
"אזור באר שבע של""ש",1974056740
"אזור בשור מ""א 38",1457057060
"אזור בשור מ""א 39",1505059540
"אזור בשור מ""א 42",1608057600
"אזור גלילות מ""א 19",
"אזור גרר מ""א 39",1572058820
"אזור גרר מ""א 41",1725058920
"אזור גרר מ""א 42",1679059410
"אזור זכרון יעקב מ""א 15",2001072840
"אזור זכרון יעקב של""ש",2040072880
"אזור חדרה מ""א 14",2012070620
"אזור חדרה מ""א 15",1932070920
"אזור חדרה מ""א 45",1999071630
"אזור חדרה של""ש",2029069980
"אזור חולון של""ש",1817066000
"אזור חיפה מ""א 12",2104074200
"אזור חיפה של""ש",2088073220
"אזור חצור מ""א 1",2545075990
"אזור חצור מ""א 55",2584076640
"אזור חצור של""ש",2549076740
"אזור יחיעם מ""א 2",2386075990
"אזור יחיעם מ""א 4",2180076770
"אזור יחיעם מ""א 52",2283076610
"אזור יחיעם מ""א 56",2214075970
"אזור יחיעם של""ש",2325076540
"אזור ים המלח מ""א 51",2340056200
"אזור יקנעם מ""א 13",2121072800
"אזור יקנעם מ""א 9",2115073310
"אזור כינרות מ""א 3",2481074680
"אזור כנרות מ""א 1",2528075660
"אזור כנרות מ""א 6",2610074110
"אזור כנרות של""ש",
"אזור כרמיאל מ""א 2",2339075980
"אזור כרמיאל מ""א 56",2327075530
"אזור כרמיאל של""ש",2369075930
"אזור לכיש מ""א 34",1769061100
"אזור לכיש מ""א 35",1870061370
"אזור לכיש מ""א 41",1888059260
"אזור לכיש מ""א 50",1836060440
"אזור מודיעין מ""א 25",2311074610
"אזור מודיעין מ""א 30",2010069770
"אזור מודיעין של""ש",1833067310
"אזור מלאכי מ""א 33",1755063200
"אזור מלאכי מ""א 34",1766062160
"אזור מלאכי מ""א 35",1816062200
"אזור מלאכי מ""א 50",1780061800
"אזור נהרייה מ""א 4",2125076910
"אזור נהרייה של""ש",2131076190
"אזור עכו מ""א 4",2128075480
"אזור עכו מ""א 56",2128075670
"אזור עכו של""ש",2127075860
"אזור פתח תקווה מ""א 20",1933066570
"אזור פתח תקווה מ""א 25",1984065740
"אזור פתח תקווה של""ש",1921066200
"אזור ראשל""צ מ""א 27",1753064760
"אזור ראשל""צ של""ש",1755065150
"אזור רחובות מ""א 28",1803064000
"אזור רחובות מ""א 29",1721063800
"אזור רחובות מ""א 30",1843064140
"אזור רחובות מ""א 31",1832063450
"אזור רחובות מ""א 32",1745063800
"אזור רחובות של""ש",1721064500
"אזור רמלה מ""א 25",
"אזור רמלה מ""א 30",1891064330
"אזור רמלה מ""א 40",1865065340
"אזור רמלה של""ש",1850065140
"אזור רמת גן של""ש",1864066110
"אזור שפרעם מ""א 56",2266075010
"אזור שפרעם מ""א 9",2179074200
"אזור שפרעם של""ש",2183074930
"אזור תל אביב של""ש",
אזור תעסוקה משגב(תרדיון),2258775255
"אזור תעשיה אכסאל מ""א 9",2325072360
אזור תעשייה אכזיב (מילואות),2105277464
