settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,education_quality_measures,education_success,educated_population,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
ירושלים,"3,000",26.09,5.01,38.32,32.99,16.35,22.3,2.68,"17,627",26.72,11.6,2.37,-0.04,0.2,0.05,-0.59,-0.3,-1.428574217,1.860417129,11,4.0,951149.0,715.0,-0.11346537931766154,0.42743169496012284,1.7909016238356912,3.001632762059362,ישוב מעורב,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.8624590752448005,3780,13.765426006436853,jerusalem
תל אביב -יפו,"5,000",26.59,1.31,74.39,67.79,44.63,44.9,4.78,"6,444",37.21,9.7,3.11,1.23,1.08,0.9,0.92,0.95,2.8149444210000003,3.840531561,51,4.0,463808.0,17.0,0.3195349515082887,1.9946278905677093,2.979498497103022,5.851128052987443,ישוב מעורב,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4010918033185448,7997,13.047225952468953,center
חיפה,"4,000",26.5,1.3,74.74,64.84,33.89,46.7,4.81,"4,669",41.34,9.83,3.07,0.84,0.67,0.67,1.06,0.6,-1.270183917,1.267745887,31,4.0,283736.0,98.0,0.39933994327861705,1.9992048270271638,2.623772731708234,3.921250740124623,ישוב מעורב,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.9569337613158728,2728,12.555799507353482,north_west
ראשון לציון,"8,300",27.81,0.68,81.73,72.7,26.26,44.2,2.99,"3,749",44.17,11.34,2.78,0.18,0.08,0.26,0.43,0.43,0.932318341,1.176295648,44,1.0,256053.0,41.0,0.2503430947233891,2.1809217747692653,2.0251402627594324,2.8333977731172846,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4455119604703129,5812,12.453139733283688,center
פתח תקווה,"7,900",27.67,0.73,74.84,66.9,33.22,41.8,2.52,"4,726",36.29,10.62,2.85,0.45,0.12,0.39,0.43,0.36,4.4700456719999995,1.379781524,42,1.0,250484.0,31.0,0.13427422977621095,1.994471935926296,2.175438922775564,2.656856326152569,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.6079341475045659,7200,12.431150325211648,center
אשדוד,70,26.76,1.19,56.99,48.27,15.32,35.1,2.11,"4,130",33.37,12.06,2.55,-0.29,-0.51,0.01,0.04,0.03,-1.77424686,1.0111904409999999,61,1.0,226154.0,22.0,0.009531054462645239,1.4281025336463324,1.5305071753543005,3.774419201075373,יהודי,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.9157963674266991,2958,12.328971462125205,south
נתניה,"7,400",27.29,1.03,73.36,62.26,22.35,37.6,2.27,"3,768",36.07,11.35,2.73,0.06,-0.19,0.08,0.4,0.43,-1.66848135,0.940830387,41,1.0,222129.0,28.0,0.10004302604030113,1.8199376844627402,1.7991094902483973,2.7803663636895677,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.5235011976119152,3185,12.311013573173259,center
באר שבע,"9,000",26.15,1.01,76.12,61.05,21.6,34.3,3.66,"3,717",38.36,10.0,3.26,-0.06,-0.14,0.28,0.6,0.3,-1.812425629,0.834281962,62,1.0,210595.0,291.0,0.3974097612162796,1.7785341177409104,1.9230206878712273,6.730929034402526,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.7955347460715336,1649,12.257692136709766,south
בני ברק,"6,100",27.3,1.71,6.22,4.82,7.19,9.6,0.81,"2,886",14.21,16.13,1.47,-0.96,-0.23,0.09,-0.77,-0.4,4.303916432,1.0599048629999999,52,1.0,208793.0,27.0,-0.8352445697570157,-0.11064546151296051,1.2004416825280817,1.5723707212406548,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4646065065632145,6543,12.249098609524435,center
חולון,"6,600",28.11,0.95,76.67,65.17,23.15,41.4,2.3,"2,905",38.38,12.27,2.63,-0.14,-0.28,0.14,0.58,0.22,3.346867547,1.155096379,53,1.0,197246.0,34.0,0.038299298045125996,1.9645342674078776,1.7589855194602357,2.4289465946077486,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3968982398319,5847,12.192206959668535,center
רמת גן,"8,600",27.33,0.99,83.9,79.65,42.17,51.6,3.87,"2,150",43.21,12.45,2.49,1.01,0.6,0.86,0.85,0.73,4.283795188,0.968633737,52,1.0,167556.0,37.0,0.15327189321989543,2.382185714608554,2.7167724340582637,2.0554322137076557,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3989430566350823,6543,12.029072902730196,center
