סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,22.58,4.93,59.29,37.17,13.03,..,3.74,183,33.33,9.91,3.06
473,אבו סנאן,25.52,1.79,65.81,52.56,12.09,28.5,2.32,293,32.08,10.11,3.12
182,אבן יהודה,28.36,0.84,83.96,76.89,55.59,46.1,3.03,318,44.03,10.52,2.9
"2,710",אום אל-פחם,26.75,1.09,59.4,44.16,8.52,23.3,2.11,"1,438",31.36,10.54,3.07
31,אופקים,23.89,1.27,50.24,39.81,12.26,26.6,1.84,648,24.07,10.1,2.77
"2,400",אור יהודה,24.79,0.82,72.31,57.85,13.76,40.5,2.31,583,31.73,12.73,2.31
"1,020",אור עקיבא,23.38,0.84,82.74,69.03,14.65,27.2,1.97,431,43.16,8.39,3.68
"3,760",אורנית,27.74,0.8,83.7,78.52,48.79,..,3.45,169,42.6,17.55,1.8
565,אזור,26.31,0.96,76.67,70,21.82,36.1,2.29,120,38.33,21.16,1.51
"2,600",אילת,24.89,1.8,66.28,59.65,10.82,23.1,1.89,971,36.66,10.77,3.24
478,אכסאל,27.46,0.31,59.24,50,13.55,24.7,2.47,395,31.9,9.81,3.12
41,אליכין,21.5,0.84,60.78,50.98,26.27,..,2.84,..,..,..,..
"1,309",אלעד,25.17,1.35,28.61,20.15,11.17,16.7,1.15,"1,009",10.31,16.78,1.71
"3,750",אלפי מנשה,29.09,0.45,81.2,75.21,36.51,..,2.56,124,40.32,17.73,1.76
"3,560",אלקנה,26.6,0,96.83,92.06,68.87,..,6.72,152,48.03,5.96,5.11
529,אעבלין,28.21,1.09,58.13,52.85,12.12,40.3,2.54,374,38.5,9.11,3.53
"3,650",אפרת,23.93,0.53,84.42,82.91,49.67,63.1,5.37,446,42.6,8.31,3.44
"3,570",אריאל,25.92,2.09,90.36,77.11,24.13,37,11.98,329,41.95,10.8,3.11
70,אשדוד,26.76,1.19,56.99,48.27,15.32,35.1,2.11,"4,130",33.37,12.06,2.55
"7,100",אשקלון,27.83,1.1,72.04,63.87,19.22,38.4,2.37,"2,585",33.27,10.42,3.08
"6,000",באקה אל-גרביה,28.34,0.76,67.66,55.22,12.74,32.7,2.96,678,41,11.38,2.78
"2,530",באר יעקב,29.06,1.14,71.27,50.91,33.83,19.6,1.91,620,30.48,9.55,3.06
"9,000",באר שבע,26.15,1.01,76.12,61.05,21.6,34.3,3.66,"3,717",38.36,10,3.26
482,בועיינה-נוג'ידאת,23.88,1.11,64.56,45.63,10.68,31.8,2.91,255,37.65,10.6,3.18
"4,001",בוקעאתא,23.43,..,84.75,66.95,6.18,..,2.62,151,44.37,9.99,3.38
998,ביר אל-מכסור,23.81,..,41.67,33.33,7.88,15.5,1.74,234,36.75,11.74,2.81
"3,574",בית אל,27.5,0.82,89.76,79.53,47.92,39.3,6.44,320,50.31,6.71,4.49
"3,652",בית אריה-עופרים,26.14,0.7,82.43,78.38,29.95,..,3.12,81,32.1,18.32,1.68
480,בית ג'ן,25.75,0.56,92.31,82.05,15.76,36.1,3.52,239,42.26,11.54,2.9
466,בית דגן,29,0.7,85.84,79.65,26.05,42.5,3.13,51,37.25,33.28,0.9
"9,200",בית שאן,22.93,1.05,64.18,50,13.14,30.7,2.44,473,38.9,9.07,3.58
"2,610",בית שמש,24.98,2.51,35.69,29.77,10.43,26.6,1.63,"2,563",24.7,12.1,2.31
