cities,value_of_pollution
פתח תקווה,1.379781524
תל אביב -יפו,0.967878879
תל אביב -יפו,1.034906091
חולון,0.952624039
תל אביב -יפו,0.838627152
רמת גן,0.79833887
בני ברק,1.043581977
רמת גן,0.968633737
תל אביב -יפו,1.022492422
תל אביב -יפו,1.069480091
ראשון לציון,1.176295648
בני ברק,1.059904863
תל אביב -יפו,0.957584169
תל אביב -יפו,0.734219269
תל אביב -יפו,3.840531561
בת ים,1.011472185
חולון,1.155096379
תל אביב -יפו,0.84717608
חולון,1.081076958
תל אביב -יפו,1.143087554
תל אביב -יפו,0.974805137
אחיסמך,1.000140824
בית שמש,0.814041463
בית חשמונאי,0.794684385
"יד רמב""ם",0.918823572
כרמי יוסף,0.942575323
רמלה,0.981622492
מודיעין-מכבים-רעות*,1.209617008
רחובות,0.822373002
אור יהודה,0.950656228
בני עטרות,0.96849645
אלעד,1.085064942
אביגדור,0.94804247
תימורים,0.921523856
אריאל,1.116133719
כרמיאל,0.779743704
כפר מסריק,0.91195574
מצפה נטופה,0.774086379
ארז,0.883309751
אשדוד,1.003152267
אשקלון,0.958378471
אשקלון,0.944898828
בני דרום,0.953178232
בת הדר,1.057232615
גן הדרום,0.861486078
גן יבנה,0.892316779
כפר מנחם,0.933062093
יבנה,0.80519607
יד בנימין,0.977126113
כפר מנחם,0.876917623
כרמייה,0.875210023
לוזית,0.819670707
מבקיעים,0.907219948
ניר ישראל,0
ניר גלים,0.882820798
גברעם,0.818399031
קריית מלאכי,0.895776986
קריית גת,0.937558922
שדה יואב,1.01698646
שדרות,0.875744263
ניר גלים,0.734219269
זיקים,0.734219269
אשדוד,1.008719545
אשדוד,1.011190441
אשדוד,0.857380809
אשקלון,0.90288685
יבנה,0.887582759
קריית גת,0.906248564
קריית גת,0.833378497
ירושלים,0.839960548
ירושלים,1.515220015
ירושלים,0.831324359
ירושלים,1.476534699
ירושלים,0.734219269
ירושלים,1.580208452
ירושלים,0.993308936
ירושלים,1.860417129
אילת,0.796197633
נווה זוהר,0.800664452
אלון שבות,0.786519919
נווה זוהר,0.769405454
נאות הכיכר,0.820572737
אליכין,0.887161818
אליקים,0.815960369
חדרה,0.843481449
ברקאי,0.865360902
גן שמואל,0.875657744
דאלית אל-כרמל,0.781928792
המעפיל,0.82742766
חדרה,0.932882195
כפר סבא,0.878550459
פרדס חנה-כרכור,0.912752118
מגל,0.827729238
גבעת חביבה,0.827963144
עמיקם,0.79098935
קציר,0.777960372
רעננה,1.032284133
מעיין צבי,0.917721466
מעיין צבי,0.853153147
דור,0.830513205
קיסריה,0.86933919
נחשולים,0.770122095
נתניה,0.940830387
נאות חובב,0.754799868
באר שבע,0.811288881
באר שבע,0.793554333
ירוחם,0.779227419
באר שבע,0.834281962
ערד,0.783436434
רביבים,0.765007051
קטורה,0.857863686
נאות חובב,0.855184267
נאות חובב,0.765135456
נאות חובב,0.762664059
נאות חובב,0.813823636
נאות חובב,0.773027295
נאות חובב,0.776567927
אשלים,0.765440506
כסיפה,0.758471761
גבעת המורה,0.776789108
דברת,1.036611523
עפולה,0.873613557
חיפה,0.951930751
חיפה,1.049002987
חיפה,0.875739533
חיפה,1.267745887
חיפה,0.915585717
חיפה,0.838593025
כפר חסידים א',0.811544962
חיפה,0.918083575
נשר,0.886201655
חיפה,1.252171964
חיפה,0.773421927
קריית אתא,0.844220661
קריית ביאליק,0.852225829
קריית אתא,0.803955166
קריית טבעון,0.864529218
קריית ים,0.865448731
קריית מוצקין,0.836605195
חיפה,0.778413262
חיפה,0.848456329
חיפה,0.734219269
חיפה,0.915734325
