,nature_rate
אבו ג'ווייעד (שבט),0.9397875283898833
אבו גוש,1.0875882481836978
אבו סנאן,0.8006884973638562
אבו סריחאן (שבט),0.7763059992212464
אבו עבדון (שבט),0.7508046616659738
אבו עמאר (שבט),0.871718388867232
אבו עמרה (שבט),0.8544164238961629
אבו קורינאת (יישוב),0.9980795799838234
אבו קורינאת (שבט),1.0301216754736964
אבו רובייעה (שבט),0.9537966768614162
אבו רוקייק (שבט),0.8741975379227213
אבו תלול,0.8805515503997452
אבטין,1.4519790760376157
אבטליון,0.8560524913487113
אביאל,0.7741429891149857
אביבים,1.2716853367394245
אביגדור,0.5268080557924807
אביחיל,0.7554890650621368
אביטל,0.4231896558467679
אביעזר,0.9850877634038788
אבירים,1.6376466686530304
אבן יהודה,0.5550530098789023
אבן מנחם,1.1217987589709104
אבן ספיר,1.260583946655337
אבן שמואל,0.7241463041256486
אבני איתן,1.1275301809504212
אבני חפץ,0.20410540506139127
אבנת,0.6754154357863507
אבשלום,0.9214465062453047
אדורה,1.582034968563578
אדירים,0.3628282502019838
אדמית,1.8586112092442664
אדרת,0.8575064821918645
אודים,1.0785497104084856
אודם,2.488590744998559
אוהד,0.9136524239040342
אום אל-פחם,0.5433044789718516
אום אל-קוטוף,0.4063071149496266
אום בטין,0.7466401218059613
אומן,0.3726197862082365
אומץ,0.31595817114547803
אופקים,0.8175305323893105
אור הגנוז,1.5672356615861471
אור הנר,0.8546696975013851
אור יהודה,0.36973924744136455
אור עקיבא,0.6929596996208276
אורה,1.2048118041186677
אורון,2.0418695005521483
אורות,0.5306130362208566
אורטל,1.0169648682705292
אורים,1.2544104079903418
אורנים,1.3036393802379593
אורנית,0.4818406167450106
אושה,0.8826431037583317
אזור,0.35815185799614807
"אזור אילון מ""א 4",1.6642027474560037
"אזור אילון מ""א 52",1.925304938682592
"אזור אילון של""ש",1.6712014062828506
"אזור אשדוד מ""א 29",0.6934851410254294
"אזור אשדוד מ""א 33",2.022562836400466
"אזור אשדוד של""ש",0.7119929018705138
"אזור אשקלון מ""א 36",0.6112218184559006
"אזור אשקלון מ""א 37",0.5546105729840499
"אזור באר שבע מ""א 41",0.7247014104747205
"אזור באר שבע מ""א 51",1.7128145099344565
"אזור באר שבע של""ש",0.886380534729946
"אזור בשור מ""א 38",0.9676440258189923
"אזור בשור מ""א 39",1.218339067672031
"אזור בשור מ""א 42",1.0436144139355392
"אזור גרר מ""א 39",0.9329504791912471
"אזור גרר מ""א 41",0.6591219467476414
"אזור גרר מ""א 42",0.5916048646375648
"אזור זכרון יעקב מ""א 15",1.7146658036358453
"אזור זכרון יעקב של""ש",2.6849574067594553
"אזור חדרה מ""א 14",0.3777483613551838
"אזור חדרה מ""א 15",0.8606826483972763
"אזור חדרה מ""א 45",0.8818259222954647
"אזור חדרה של""ש",0.23516706917033672
"אזור חולון של""ש",0.3580702821444578
"אזור חיפה מ""א 12",1.1314420543752115
"אזור חיפה של""ש",1.3464350435408348
"אזור חצור מ""א 1",1.7495900070328207
"אזור חצור מ""א 55",1.3462533649928334
"אזור חצור של""ש",1.2379395889191103
"אזור יחיעם מ""א 2",1.6292617151755073
"אזור יחיעם מ""א 4",0.9694620175295462
"אזור יחיעם מ""א 52",1.3996262106381694
"אזור יחיעם מ""א 56",2.554556382315837
"אזור יחיעם של""ש",1.695740510516808
"אזור ים המלח מ""א 51",2.2830564769155828
"אזור יקנעם מ""א 13",0.8349790533462006
"אזור יקנעם מ""א 9",1.2393274927201832
"אזור כינרות מ""א 3",1.3010765850524912
"אזור כנרות מ""א 1",1.3762164096632201
"אזור כנרות מ""א 6",2.019838317977418
"אזור כרמיאל מ""א 2",1.514869783984762
"אזור כרמיאל מ""א 56",1.2846518870295816
"אזור כרמיאל של""ש",1.5598272430504119
"אזור לכיש מ""א 34",0.6513449107904802
"אזור לכיש מ""א 35",0.943448712742686
"אזור לכיש מ""א 41",1.2115754226668891
"אזור לכיש מ""א 50",1.4504635809625817
"אזור מודיעין מ""א 25",0.8847178759709645
"אזור מודיעין מ""א 30",0.2541362541895351
"אזור מודיעין של""ש",0.635744836624195
"אזור מלאכי מ""א 33",0.49225732014152357
"אזור מלאכי מ""א 34",0.5352144206323016
"אזור מלאכי מ""א 35",0.885690158371255
"אזור מלאכי מ""א 50",0.5640517747292504
"אזור נהרייה מ""א 4",0.9006719694043741
"אזור נהרייה של""ש",0.7988838076564462
"אזור עכו מ""א 4",0.7238965291141312
"אזור עכו מ""א 56",0.7312855831885761
"אזור עכו של""ש",0.75560081703765
"אזור פתח תקווה מ""א 20",0.7457864101584036
"אזור פתח תקווה מ""א 25",1.9773254324759406
"אזור פתח תקווה של""ש",0.5436260436719048
"אזור ראשל""צ מ""א 27",2.091183229153824
"אזור ראשל""צ של""ש",1.2880977917858156
"אזור רחובות מ""א 28",0.4643181161428993
"אזור רחובות מ""א 29",1.3144815921566242
"אזור רחובות מ""א 30",0.40182882010751186
"אזור רחובות מ""א 31",0.42823781881370787
"אזור רחובות מ""א 32",0.5304093019704117
"אזור רחובות של""ש",0.8638778878740594
"אזור רמלה מ""א 30",0.4502320241470318
"אזור רמלה מ""א 40",0.3600536178895118
"אזור רמלה של""ש",0.3711853027526363
"אזור רמת גן של""ש",0.38333865945662055
"אזור שפרעם מ""א 56",1.2304377632889927
"אזור שפרעם מ""א 9",0.9514159230336334
"אזור שפרעם של""ש",0.7446737512860662
אזור תעסוקה משגב(תרדיון),1.0853938164258339
"אזור תעשיה אכסאל מ""א 9",0.5219048753133837
אזור תעשייה אכזיב (מילואות),1.4070610346541172
אזור תעשייה נעמן (מילואות),0.9147497712811422
אחווה,0.4842925877084221
אחוזם,0.8311822075224411
אחוזת ברק,0.4959875505441809
אחיהוד,0.7420119878602702
אחיטוב,0.2822066160727836
אחיסמך,0.414509764967048
אחיעזר,0.3715101317613296
אטרש (שבט),0.7815241702108685
איבים,0.601356928348617
אייל,0.3494273101474715
איילת השחר,1.418663726787783
אילון,1.68165288966445
אילון תבור*,0.5651994915519596
אילות,1.2864938786853672
אילנייה,0.7196459492854924
אילת,1.3709214511098133
אירוס,1.149620306286662
איתמר,0.5678405326153959
איתן,0.6998418913279607
איתנים,1.359881053139319
אכסאל,0.5532087857029598
אל -עזי,0.5675142496328509
אל -עריאן,0.7931054893060038
אל -רום,1.0279192454918125
אל סייד,0.7600058507840171
אלומה,0.539968597158878
אלומות,1.2152042976183506
אלון הגליל,1.384679330587551
אלון מורה,1.52386834800806
אלון שבות,0.8790065049894964
אלוני אבא,2.5641425917285225
אלוני הבשן,1.6813101553610528
אלוני יצחק,1.0320968427376698
אלונים,1.251706541910456
אלי-עד,0.914737749141382
אליאב,1.2685122141179808
אליכין,0.5106477694682506
אליפז,1.8252461754163385
אליפלט,1.4579930602311562
אליקים,1.2548488303812186
אלישיב,0.5439959050490405
אלישמע,0.5484213526782636
אלמגור,1.8246249527263272
אלמוג,1.7549326645905738
אלעד,0.9449532734000267
אלעזר,0.8272893829156848
אלפי מנשה,0.40720750042327636
אלקוש,1.3827159636135935
אלקנה,0.5924844596890779
אמונים,0.8969564396404022
אמירים,1.7547763443293938
אמנון,1.3502510176624776
אמציה,1.7275054573073008
אניעם,2.738435585536866
אסד (שבט),0.77239425021392
אספר,1.3996494238508208
אעבלין,0.739653730615904
אעצם (שבט),0.9719504490223303
אפיניש (שבט),1.0073238571380847
אפיק,1.100649850182805
אפיקים,1.0980324554246954
אפק,0.8447946695011007
אפרת,0.7808040540921345
ארבל,1.9994509732817336
ארגמן,0.9550093945231892
ארז,0.7318365257066674
אריאל,0.336859114296932
ארסוף,1.2691554334321669
אשבול,0.5976144602434919
אשבל,1.217166429894112
אשדוד,0.915796367426699
אשדות יעקב (איחוד),0.8904685927476373
אשדות יעקב (מאוחד),0.8865489206623922
אשחר,1.7763267656364505
אשכולות,0.9081674329712746
אשל הנשיא,0.6779333790094428
אשלים,1.5240308084076126
אשקלון,0.9416404014731141
אשרת,0.8027094183905792
אשתאול,1.1527818548223516
באקה אל-גרביה,0.26793700185859587
באר אורה,1.744444118851296
באר גנים,1.3648037433815003
באר טוביה,0.5624237449876263
באר יעקב,0.38030178967962686
באר מילכה,1.5991399447771002
באר שבע,0.7955347460715336
בארות יצחק,0.5112461383574407
בארותיים,0.23594729380697932
בארי,0.9677821822199566
