T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,Thousands,שם נפה
1.5,2.8,2.1,11.3,12.7,10.2,4.2,7.8,0.9,3.3,5.7,4.5,4.4,10.9,5.3,0.4,0.4,10.5,1,"3,966.90",כלל הארץ
1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,374.7,ירושלים
0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,19.7,גולן
..  ,3.6,3.1,10.6,13.4,11.2,3.9,4.1,..  ,1.5,0.9,8.6,4.5,8,3.7,..  ,-  ,14.8,6.8,53.1,צפת
1,3.4,..  ,11.9,14.3,14.3,5.5,3,..  ,1.6,1.3,7.7,4.2,11.7,5.6,..  ,..  ,10.2,2.5,46.2,כנרת
0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,209.5,יזרעאל
0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,276.7,עכו
1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,282.1,חיפה
1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,185.9,חדרה
2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,225.6,השרון
1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,370.9,פתח תקווה
1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,..  ,..  ,10,..  ,174.9,רמלה
1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,321.5,רחובות
2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,729.6,תל אביב
1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,266.8,אשקלון
0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,267.4,באר שבע
0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,..  ,0.3,5.9,..  ,162.4,יהודה ושומרון
