סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
"1,275",אבטליון,478,234,244
679,אביאל,791,400,391
"1,115",אביבים,474,231,243
819,אביגדור,816,399,417
175,אביחיל,"1,409",697,712
"2,052",אביטל,495,270,225
"1,070",אביעזר,864,429,435
"1,220",אבירים,271,132,139
182,אבן יהודה,"14,020","6,885","7,135"
"1,081",אבן מנחם,280,147,133
783,אבן ספיר,711,386,325
400,אבן שמואל,"2,238",970,"1,267"
"4,011",אבני איתן,740,367,374
"3,793",אבני חפץ,"2,080","1,063","1,017"
"3,786",אבנת,255,152,103
"1,311",אבשלום,323,161,162
"3,759",אדורה,447,251,196
113,אדירים,280,147,133
"1,068",אדמית,246,121,125
"1,123",אדרת,886,441,444
446,אודים,"1,406",695,711
"4,010",אודם,155,81,74
"1,046",אוהד,409,210,198
"1,108",אומן,468,227,241
680,אומץ,829,423,407
31,אופקים,"32,555","16,107","16,448"
"1,294",אור הגנוז,593,314,278
67,אור הנר,788,391,397
"2,400",אור יהודה,"36,770","18,227","18,543"
"1,020",אור עקיבא,"19,447","9,573","9,874"
780,אורה,"1,297",635,662
"2,012",אורות,480,231,248
"4,013",אורטל,349,175,173
403,אורים,482,239,244
882,אורנים,61,25,36
"3,760",אורנית,"8,965","4,543","4,422"
278,אושה,557,287,270
565,אזור,"13,332","6,607","6,725"
"1,157",אחווה,322,120,202
821,אחוזם,541,302,238
"1,330",אחוזת ברק,"2,391","1,185","1,206"
785,אחיהוד,912,469,443
850,אחיטוב,"1,080",552,528
804,אחיסמך,"1,405",736,668
797,אחיעזר,"1,978",970,"1,008"
338,איבים,651,344,307
716,אייל,535,281,254
77,איילת השחר,"1,148",565,583
294,אילון,"1,055",528,526
"1,126",אילות,341,161,180
49,אילנייה,488,245,244
"2,600",אילת,"52,519","27,232","25,287"
"1,336",אירוס,729,369,360
"3,762",איתמר,"1,285",740,546
37,איתן,490,257,233
886,איתנים,60,42,18
"4,003",אל -רום,416,216,200
"1,145",אלומה,943,483,459
330,אלומות,411,199,212
"1,182",אלון הגליל,"1,144",588,556
"3,579",אלון מורה,"2,010","1,151",859
"3,604",אלון שבות,"3,071","1,630","1,441"
429,אלוני אבא,994,498,495
"4,017",אלוני הבשן,447,257,190
868,אלוני יצחק,299,128,171
285,אלונים,522,260,262
"4,002",אלי-עד,464,253,211
"1,365",אליאב,603,316,286
41,אליכין,"3,484","1,737","1,747"
"1,248",אליפז,147,76,71
730,אליפלט,641,329,313
682,אליקים,928,489,438
204,אלישיב,723,362,361
841,אלישמע,"1,204",603,601
"1,125",אלמגור,417,214,202
"3,556",אלמוג,246,122,124
"1,309",אלעד,"49,167","24,848","24,319"
"3,618",אלעזר,"2,487","1,219","1,268"
"3,750",אלפי מנשה,"7,997","4,012","3,985"
603,אלקוש,269,148,121
"3,560",אלקנה,"3,911","1,939","1,973"
772,אמונים,997,501,496
"1,064",אמירים,876,421,454
"1,253",אמנון,444,211,233
23,אמציה,224,122,101
"4,012",אניעם,515,258,257
"3,754",אספר,986,540,446
"4,301",אפיק,345,183,163
176,אפיקים,"1,501",752,749
313,אפק,728,353,375
"3,650",אפרת,"11,405","5,849","5,555"
701,ארבל,748,403,345
"3,598",ארגמן,133,72,62
714,ארז,585,297,288
"3,570",אריאל,"19,582","9,802","9,780"
"1,324",ארסוף,184,93,92
71,אשבול,646,320,326
"1,276",אשבל,139,72,68
70,אשדוד,"226,154","110,468","115,685"
199,אשדות יעקב (איחוד),"1,016",506,511
188,אשדות יעקב (מאוחד),583,282,300
"1,188",אשחר,965,507,458
"3,722",אשכולות,588,301,287
"2,021",אשל הנשיא,139,68,71
"1,152",אשלים,666,344,322
"7,100",אשקלון,"146,519","71,353","75,165"
"1,256",אשרת,563,269,294
740,אשתאול,"1,253",629,623
21,באר אורה,"1,140",589,552
"1,376",באר גנים,"1,763",836,927
155,באר טוביה,"1,301",642,659
"2,530",באר יעקב,"29,015","14,794","14,221"
"1,278",באר מילכה,193,93,100
"9,000",באר שבע,"210,595","102,817","107,778"
450,בארות יצחק,469,253,216
697,בארותיים,"1,143",572,571
399,בארי,"1,040",512,527
559,בוסתן הגליל,"1,302",656,646
698,בורגתה,"1,136",574,563
"2,043",בחן,"1,115",588,527
762,בטחה,794,397,397
234,ביצרון,"1,234",631,603
368,בירייה,816,405,412
317,בית אורן,541,273,268
"3,574",בית אל,"5,684","2,922","2,762"
562,בית אלעזרי,"1,557",819,738
95,בית אלפא,"1,179",586,592
"3,652",בית אריה-עופרים,"5,351","2,700","2,650"
"1,076",בית ברל,226,106,120
619,בית גוברין,436,213,223
571,בית גמליאל,"1,025",516,509
466,בית דגן,"7,299","3,672","3,627"
723,בית הגדי,842,446,396
373,בית הלוי,827,417,410
322,בית הלל,789,394,395
572,בית העמק,713,324,389
"3,645",בית הערבה,398,201,198
242,בית השיטה,"1,261",603,658
353,בית זיד,78,43,35
710,בית זית,"1,683",811,872
143,בית זרע,599,290,309
"3,575",בית חורון,"1,454",722,732
877,בית חירות,905,449,456
"2,033",בית חלקיה,"1,407",965,442
159,בית חנן,526,251,275
800,בית חנניה,914,474,440
"1,050",בית חשמונאי,"2,192","1,095","1,097"
288,בית יהושע,"1,080",529,550
265,בית יוסף,485,254,231
200,בית ינאי,370,203,167
326,בית יצחק-שער חפר,"2,136","1,027","1,109"
430,בית לחם הגלילית,837,419,418
751,בית מאיר,817,438,379
784,בית נחמיה,889,425,465
16,בית ניר,608,299,310
672,בית נקופה,739,356,383
202,בית עובד,257,130,127
301,בית עוזיאל,645,323,322
756,בית עזרא,"1,106",569,537
604,בית עריף,"1,189",622,567
212,בית צבי,314,273,41
598,בית קמה,"1,423",711,712
365,בית קשת,695,329,365
848,בית רבן,931,269,662
"1,162",בית רימון,866,435,431
"9,200",בית שאן,"18,705","9,418","9,287"
"2,610",בית שמש,"132,544","66,516","66,028"
248,בית שערים,788,362,425
747,בית שקמה,893,460,433
252,ביתן אהרן,138,70,68
"3,780",ביתר עילית,"61,125","30,424","30,701"
94,בלפוריה,543,280,264
760,בן זכאי,"1,135",575,560
712,בן עמי,777,391,386
"1,084",בן שמן (כפר נוער),671,341,330
"2,013",בן שמן (מושב),873,431,442
"6,100",בני ברק,"208,793","107,151","101,642"
"1,368",בני דקלים,"1,426",719,707
592,בני דרום,925,450,475
386,בני דרור,"1,209",534,675
"4,015",בני יהודה,"1,120",546,574
"1,363",בני נצרים,820,462,359
448,בני עטרות,958,479,479
"1,066","בני עי""ש","6,925","3,324","3,601"
418,בני ציון,"1,349",656,693
588,בני ראם,"1,428",736,692
685,בניה,780,392,389
"9,800",בנימינה-גבעת עדה*,"15,925","7,938","7,987"
389,בצרה,"1,202",598,603
589,בצת,306,138,167
864,בקוע,790,402,388
"3,612",בקעות,192,104,88
823,בר גיורא,696,349,347
"1,191",בר יוחאי,"1,088",534,553
"3,744",ברוכין,"1,478",792,686
428,ברור חיל,"1,002",524,478
"2,060",ברוש,584,296,289
"3,710",ברכה,"2,926","1,499","1,427"
746,ברכיה,"1,252",655,596
667,ברעם,638,327,312
141,ברק,411,191,220
617,ברקאי,558,268,289
"3,654",ברקן,"1,933",970,963
"2,038",ברקת,"2,127","1,036","1,091"
"1,323",בת הדר,765,388,377
"1,361",בת חן,428,212,216
"1,319",בת חפר,"5,285","2,687","2,598"
"6,200",בת ים,"127,803","61,097","66,706"
"3,794",בת עין,"1,605",850,756
33,בת שלמה,659,332,327
872,גאולי תימן,363,188,175
379,גאולים,969,469,500
853,גאליה,968,501,467
352,גבולות,378,189,190
424,גבים,624,303,322
86,גבע,617,292,325
"3,763",גבע בנימין,"5,761","2,886","2,875"
683,גבע כרמל,"1,220",601,619
"2,014",גבעולים,410,201,209
"3,644",גבעון החדשה,"1,044",540,504
"1,344",גבעות בר,"1,245",626,619
"1,293",גבעת אבני,"2,084","1,046","1,038"
"1,288",גבעת אלה,"1,936",974,962
147,גבעת ברנר,"2,686","1,342","1,344"
870,גבעת השלושה,886,461,425
"3,730",גבעת זאב,"19,225","9,553","9,672"
207,"גבעת ח""ן",360,184,176
"2,018",גבעת חיים (איחוד),"1,192",576,616
173,גבעת חיים (מאוחד),"1,027",507,520
"4,021",גבעת יואב,740,360,380
787,גבעת יערים,"1,433",714,719
919,גבעת ישעיהו,812,390,422
802,"גבעת כ""ח",894,448,446
360,"גבעת ניל""י",712,365,346
703,גבעת עוז,466,242,224
681,גבעת שמואל,"27,249","13,548","13,701"
566,גבעת שמש,55,47,8
"1,077",גבעת שפירא,407,191,215
793,גבעתי,"1,048",525,523
"6,300",גבעתיים,"61,061","29,098","31,963"
342,גברעם,634,332,302
133,גבת,933,440,493
35,גדות,434,208,226
145,גדיש,412,207,204
442,גדעונה,496,236,260
"2,550",גדרה,"28,896","13,986","14,910"
852,גונן,353,167,186
755,גורן,413,221,192
"1,219",גורנות הגליל,206,108,98
457,גזית,769,371,398
370,גזר,292,139,153
706,גיאה,976,479,497
196,גיבתון,386,187,199
"1,043",גיזו,212,111,100
"1,204",גילון,"1,099",567,532
736,גילת,"1,493",777,716
262,גינוסר,580,261,319
92,גיניגר,669,338,331
863,גינתון,915,486,429
"1,206",גיתה,293,156,137
"3,613",גיתית,497,270,227
393,גלאון,595,292,303
"3,606",גלגל,217,96,121
346,גליל ים,541,259,282
369,גלעד (אבן יצחק),499,258,241
745,גמזו,"1,213",621,592
"1,072",גן הדרום,638,329,308
225,גן השומרון,842,417,425
239,גן חיים,815,403,413
734,גן יאשיה,"1,010",530,479
166,גן יבנה,"23,925","12,031","11,894"
"1,274",גן נר,"2,709","1,378","1,331"
311,גן שורק,701,361,340
144,גן שלמה,596,294,302
72,גן שמואל,942,456,486
836,גנות,592,290,302
549,גנות הדר,965,506,459
"1,103",גני הדר,357,181,177
"1,371",גני טל,898,471,427
862,גני יוחנן,607,312,296
"3,823",גני מודיעין,"2,716","1,349","1,367"
218,גני עם,233,114,119
229,גני תקווה,"21,551","10,478","11,073"
842,געש,874,437,437
463,געתון,694,348,345
39,גפן,414,220,194
"1,129",גרופית,242,123,119
"4,022",גשור,289,144,145
305,גשר,423,204,220
574,גשר הזיו,"1,624",807,817
340,גת (קיבוץ),929,464,466
128,גת רימון,322,168,154
146,דבורה,208,98,111
849,דבירה,"1,043",509,534
407,דברת,522,264,258
62,דגניה א',525,278,247
79,דגניה ב',672,345,327
"1,067","דוב""ב",478,242,235
"3,747",דולב,"1,513",710,803
738,דור,448,217,230
336,דורות,850,448,402
"2,200",דימונה,"35,269","17,522","17,747"
"2,063",דישון,339,171,167
300,דלייה,846,403,443
431,דלתון,866,450,417
303,דן,761,381,380
302,דפנה,987,481,506
"1,241",דקל,362,186,176
702,האון,177,80,97
675,הבונים,371,189,181
356,הגושרים,918,445,472
191,הדר עם,692,353,339
"9,700",הוד השרון,"64,489","31,360","33,129"
"1,322",הודיות,303,170,133
726,הודייה,590,275,316
"1,186",הושעיה,"2,095","1,044","1,051"
250,הזורע,921,440,482
307,הזורעים,"1,082",613,468
434,החותרים,874,428,446
684,היוגב,745,369,376
"1,208",הילה,579,291,288
377,המעפיל,860,424,435
677,הסוללים,963,495,468
423,העוגן,932,461,470
"3,769",הר אדר,"4,084","2,042","2,041"
"3,603",הר גילה,"1,627",796,831
"1,261",הר עמשא,220,110,111
464,הראל,258,133,125
"1,249",הרדוף,"1,105",537,569
"6,400",הרצלייה,"98,966","48,241","50,726"
"1,203",הררית,585,292,293
"3,639",ורד יריחו,360,182,178
"1,133",ורדון,272,135,138
815,זבדיאל,574,285,289
44,זוהר,356,196,160
584,זיקים,857,441,416
788,זיתן,"1,039",531,507
"9,300",זכרון יעקב,"23,437","11,520","11,918"
799,זכריה,"1,103",535,568
"1,065",זמרת,648,336,312
816,זנוח,541,288,253
"2,064",זרועה,500,256,244
818,זרחיה,740,373,367
235,חבצלת השרון,487,284,203
"1,110",חבר,676,334,342
717,חגור,"1,143",570,572
"3,764",חגי,676,368,308
205,חגלה,864,398,466
"4,026",חד-נס,854,459,394
618,חדיד,903,457,446
"6,500",חדרה,"98,908","48,579","50,330"
160,חולדה,"1,134",574,560
"6,600",חולון,"197,246","95,383","101,864"
"1,239",חולית,205,101,104
253,חולתה,705,352,353
662,חוסן,"1,176",583,593
115,חופית,801,398,403
374,חוקוק,602,310,292
355,חורשים,338,165,174
"1,047",חזון,296,144,152
219,חיבת ציון,806,412,394
"3,643",חיננית,"1,477",766,711
162,חירות,"1,267",606,661
"1,272",חלוץ,534,267,267
820,חלץ,478,250,227
801,"חמ""ד","1,317",772,545
343,חמדיה,404,197,207
"3,646",חמדת,310,177,133
"3,609",חמרה,259,82,176
807,חניאל,924,448,476
280,חניתה,746,359,387
"1,257",חנתון,992,502,490
"4,005",חספין,"2,007","1,382",625
363,חפץ חיים,557,276,280
90,חפצי-בה,723,328,396
700,חצב,"1,508",757,750
13,חצבה,694,350,344
406,חצור-אשדוד,648,322,326
"2,034",חצור הגלילית,"9,568","4,914","4,655"
397,חצרים,850,407,444
422,חרב לאת,930,586,343
"1,024",חרוצים,857,425,433
"1,247",חריש,"19,567","9,696","9,871"
"3,717",חרמש,229,120,110
"1,209",חרשים,356,174,182
"3,770",חשמונאים,"2,712","1,340","1,371"
"6,700",טבריה,"45,867","22,980","22,887"
663,טירת יהודה,"1,237",604,633
"2,100",טירת כרמל,"24,296","11,977","12,319"
268,טירת צבי,923,531,391
"1,181",טל-אל,"1,200",626,573
462,טל שחר,"1,391",704,687
"1,177",טללים,562,268,294
"3,788",טלמון,"4,882","2,472","2,409"
"3,743",טנא,925,484,442
"1,214",טפחות,509,311,197
"1,232",יבול,354,177,178
46,יבנאל,"4,332","2,161","2,171"
"2,660",יבנה,"49,836","24,802","25,034"
96,יגור,"1,636",809,827
798,יגל,907,439,467
577,יד בנימין,"4,253","2,166","2,087"
"1,134",יד השמונה,293,140,153
758,יד חנה,959,482,477
358,יד מרדכי,745,397,348
775,יד נתן,659,350,309
64,"יד רמב""ם","1,119",544,575
"1,144",ידידה,228,167,61
"9,400",יהוד-מונוסון,"30,020","14,716","15,304"
"1,158",יהל,233,119,115
"2,009",יובל,640,326,315
"1,226",יובלים,"1,088",530,558
"1,112",יודפת,907,465,442
"4,007",יונתן,770,328,442
803,יושיביה,700,359,341
452,יזרעאל,552,260,292
409,יחיעם,720,378,342
866,יטבתה,720,356,364
"3,607","ייט""ב",322,146,176
811,יכיני,725,368,357
753,ינוב,930,499,431
"2,011",ינון,"1,213",625,588
29,יסוד המעלה,"1,761",860,901
440,יסודות,992,636,357
575,יסעור,883,439,445
"1,138",יעד,695,351,344
"1,044",יעף,309,159,150
795,יערה,749,385,364
"3,566",יפית,218,106,112
134,יפעת,"1,204",613,592
453,יפתח,582,289,293
"3,749",יצהר,"1,838",995,843
759,יציץ,837,430,406
417,יקום,774,391,383
"3,647",יקיר,"2,368","1,184","1,184"
241,יקנעם (מושבה),"1,384",683,700
240,יקנעם עילית,"24,091","11,875","12,216"
623,יראון,403,203,200
"2,026",ירדנה,359,179,180
831,ירוחם,"10,773","5,723","5,050"
718,ירחיב,"1,096",560,536
183,ירקונה,368,178,190
916,ישע,426,218,208
805,ישעי,806,408,398
828,ישרש,991,507,484
"1,227",יתד,537,288,249
576,כברי,"1,068",521,547
371,כדורי,202,119,83
"1,338",כדיתה,190,105,85
"3,564",כוכב השחר,"2,450","1,324","1,125"
"1,224",כוכב יאיר,"8,735","4,401","4,334"
"3,779",כוכב יעקב,"9,116","4,341","4,775"
824,כוכב מיכאל,"1,090",578,512
"1,252",כורזים,335,156,179
"1,210",כחל,464,235,229
840,כיסופים,286,138,149
"1,153",כישור,213,129,84
"1,183",כליל,784,387,397
"1,229",כלנית,251,139,113
"1,291",כמהין,247,127,120
"1,201",כמון,"1,403",695,708
"2,006",כנות,454,249,205
"4,028",כנף,470,228,242
63,כנרת (מושבה),694,352,342
57,כנרת (קבוצה),694,347,347
859,כסלון,470,252,218
857,כפר אביב,835,420,415
"3,638",כפר אדומים,"4,785","2,437","2,348"
364,כפר אוריה,919,472,446
690,כפר אחים,888,444,444
220,כפר ביאליק,845,450,395
177,"כפר ביל""ו","1,269",645,624
357,כפר בלום,782,375,407
"2,010",כפר בן נון,732,365,367
132,כפר ברוך,615,316,299
106,כפר גדעון,335,177,158
427,כפר גלים,387,221,167
310,כפר גליקסון,347,169,178
76,כפר גלעדי,686,324,362
707,כפר דניאל,698,354,344
"3,796",כפר האורנים,"2,614","1,342","1,273"
192,כפר החורש,725,353,372
254,כפר המכבי,402,197,205
582,כפר הנגיד,"1,241",639,602
890,כפר הנוער הדתי,376,188,188
443,כפר הנשיא,961,471,490
187,כפר הס,"1,595",792,803
217,"כפר הרא""ה","1,475",874,601
888,"כפר הרי""ף",834,434,400
190,כפר ויתקין,"1,963",976,987
320,כפר ורבורג,"1,147",555,593
"1,263",כפר ורדים,"5,492","2,673","2,819"
"1,325",כפר זוהרים,148,118,30
786,כפר זיתים,796,455,341
696,"כפר חב""ד","6,733","3,465","3,268"
609,כפר חושן,791,409,382
255,כפר חיטים,606,327,279
193,כפר חיים,635,319,317
"1,297",כפר חנניה,762,392,370
112,כפר חסידים א',837,423,414
889,כפר חסידים ב',305,151,154
"4,004",כפר חרוב,455,244,211
673,כפר טרומן,875,432,443
233,כפר ידידיה,734,381,353
140,כפר יהושע,"1,223",602,621
168,כפר יונה,"26,182","13,019","13,164"
85,כפר יחזקאל,"1,214",621,593
170,כפר יעבץ,683,339,344
387,כפר מונש,941,458,482
"1,095",כפר מימון,419,215,204
